study,series,n_files,modality,sop_class,image_type,is_original_primary,is_localizer,orientation,series_description,study_description,body_part,manufacturer,model,slice_thickness,rows,cols,kernel,contrast_agent,scanning_sequence,sequence_variant,mr_acq_type,tr,te,window_center,window_width
S01,S01-01,151,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Pre 3.00 Br40 A2 ax,07_Hemorrhage_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,512,606,Br40d\2,,,,,,,50,410
S01,S01-02,143,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Artery 3.00 Br40 A2 ax,07_Hemorrhage_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,512,606,Br40d\2,UNDEFINED,,,,,,40,390
S01,S01-03,147,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Portal 3.00 Br40 A2 ax,07_Hemorrhage_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,512,606,Br40d\2,UNDEFINED,,,,,,30,360
S01,S01-04,98,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,sagittal,Portal 3.00 Br40 A2 sag,07_Hemorrhage_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,849,512,Br40d\2,UNDEFINED,,,,,,30,360
S01,S01-05,67,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,coronal,Portal 3.00 Br40 A2 cor,07_Hemorrhage_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,717,512,Br40d\2,UNDEFINED,,,,,,30,360
S01,S01-06,1,CT,Secondary Capture,ORIGINAL\PRIMARY\OTHER\CT_SOM PROT,True,False,unknown,Patient Protocol,07_Hemorrhage_CT(Adult),,Siemens Healthineers,SOMATOM X.cite,,512,512,,,,,,,,200,50
S01,S01-07,1,CT,CT Image,DERIVED\SECONDARY\LOCALIZER\CT_SOM5 TOP,False,True,coronal,Exported CT View&GO,07_Hemorrhage_CT(Adult),,Siemens Healthineers,SOMATOM X.cite,0,512,512,,,,,,,,50,350
S02,S02-01,124,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Chest_Abd_Pre 3.00 Br40 A2 ax Lung,CHEST,CHEST,Siemens Healthineers,SOMATOM X.cite,3,512,559,Br40d\2,,,,,,,40,435
S02,S02-02,124,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Chest Portion 3.00 Br40 ax,CHEST,CHEST,Siemens Healthineers,SOMATOM X.cite,3,512,559,Br40f,UNDEFINED,,,,,,25,400
S02,S02-03,96,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Chest Portion 3.00 Br60 A1 ax Lung,CHEST,CHEST,Siemens Healthineers,SOMATOM X.cite,3,512,606,Br60f\1,UNDEFINED,,,,,,-700,1700
